ID	symbol	SAM24462135_NXG20262625	SAM24462136_NXG20262628	SAM24462137_NXG20262623	SAM24462138_NXG20262621	SAM24462139_NXG20262630	SAM24462140_NXG20262624	SAM24462141_NXG20262622	SAM24462142_NXG20262620	SAM24462143_NXG20262629	SAM24462144_NXG20262626	SAM24462145_NXG20262619	SAM24462146_NXG20262627
ENSMUSG00000000001	Gnai3	8.84508838873621	8.60294850852743	8.72774625387918	8.85291768677102	8.1430761212773	8.16988714891207	8.14233276569391	8.32914325497577	8.09845555111751	8.41942297699164	8.23951400492546	8.29053243872746
ENSMUSG00000000028	Cdc45	5.33296647562701	4.9426932810664	5.15504379248092	5.08336199250835	5.07741898571116	4.89282142435842	5.32692493131188	5.08853400026975	4.94834857695129	5.23561689697591	4.91153937271257	4.84589666570037
ENSMUSG00000000049	Apoh	-2.9688292408285	-0.826588477292972	-2.17200460772652	-1.96215252810321	-1.77590828070715	-0.599378116560203	-1.99515459470301	-1.88277778820162	-1.11423747365749	-0.600081245789173	-0.451790845324014	-1.52064555273321
ENSMUSG00000000056	Narf	6.11953612646054	5.81733201611863	5.9073983532934	6.1150369850595	5.65528018728212	5.72318309197092	5.58055958005372	5.79296674501797	5.48900386778543	5.69046663087083	5.80414675292803	5.76085115074918
ENSMUSG00000000058	Cav2	8.81156347516568	8.50820357433736	8.88673918798116	9.05548445761826	7.98180019636794	7.68981095250105	7.71812419957576	7.86070287274848	7.92679153969779	8.19752492657375	7.84921591408436	8.18758301332849
ENSMUSG00000000078	Klf6	10.8907081716085	10.9589385043882	10.7488959710657	10.934756831098	10.7659435952164	10.8515989817983	10.3774026951513	10.3392941730666	10.3070964457545	10.1164972249937	10.1353325514322	10.0819003373199
ENSMUSG00000000085	Scmh1	6.36045161888641	6.4229599079063	6.42172952027076	6.59522253093799	6.07204782927703	6.02474878766933	6.01339123410086	6.0022063189314	6.33056178215767	6.3778522644174	6.37320840600591	6.35054774425357
ENSMUSG00000000088	Cox5a	6.39809103874164	6.22034419799545	6.66204104792427	6.35205281528154	6.69978578175143	6.90152939037617	6.89992748213674	6.79565661860013	6.45903698725899	6.33571268787683	6.34016107488867	6.59805015246534
ENSMUSG00000000093	Tbx2	1.40333234706854	2.08635718777412	1.9439303419552	1.81659767867933	3.25909867635157	3.37763402223661	3.14201620617577	2.74965343870902	3.37748493863085	2.61178149267359	3.49706493820249	3.44759511048453
ENSMUSG00000000094	Tbx4	2.82529077845717	2.49877545095437	2.61061786105703	2.71665871966253	1.85546600015343	0.617810829475049	1.78731761271215	0.848871589763482	1.35763820560933	1.56802840266517	1.47301058551835	1.66999157708559
ENSMUSG00000000120	Ngfr	0.966482666160477	2.25694814066873	2.25979794567911	1.52502620349696	0.889608358270362	0.34299923696977	0.256638136225493	-0.163760116612924	1.18662199379813	0.992538950306268	0.0926938693977059	1.22387235634139
ENSMUSG00000000126	Wnt9a	-2.14272765717349	0.19581231231755	-1.66166516622786	-1.37497130540992	0.755650611279023	0.207049057281997	1.34988140937784	0.994458770555805	1.21656982547242	2.31032337266469	2.86820081959084	2.46918925718839
ENSMUSG00000000127	Fer	6.11646020818367	6.23712385817708	6.44842195738614	6.53899732595571	6.28837453665967	6.16436782774535	6.0682424800246	6.20655058022079	5.82050851069557	5.83528331975639	5.77794396110257	5.78608610600492
ENSMUSG00000000131	Xpo6	7.53317252757012	7.18732227729811	7.27167517358899	7.4013020561059	7.03135876611351	6.97051187212798	7.07742789514366	7.28883733781635	6.97814202166729	7.25766661243677	7.2266247731566	7.22895327945061
ENSMUSG00000000134	Tfe3	6.4132103531529	6.25095935181939	6.14095007860018	6.43893641711085	5.54411813783614	5.73867544144761	5.6809105281217	5.6951780526101	5.45014315326729	5.77348729729009	5.7340953920227	5.66888169727801
ENSMUSG00000000142	Axin2	6.95618222470909	6.89596353933732	6.74987030785059	6.63194119782753	7.98881480974035	7.99515330791833	8.01788940736409	8.10122369236395	7.2850581620361	7.0657307436253	7.48870034438627	7.48658219128054
ENSMUSG00000000148	Brat1	4.8728198338243	4.55663918018364	4.397871375398	4.48459412609157	4.48198593491506	4.25268027369085	4.69938645124854	4.88416233410948	4.59066257168481	4.95546576402974	4.84914711707903	4.96116498142494
ENSMUSG00000000149	Gna12	4.26159886743513	4.58021142746227	5.02963643065848	4.77461803233366	4.60151420751662	4.64790017688294	4.52006318935127	4.23431497550297	5.07431157686919	4.66659170425505	5.11363211721066	5.22520150927709
ENSMUSG00000000154	Slc22a18	4.59197617914894	4.45829890998912	4.91046527073906	4.99669578115198	4.62090849277068	4.75335188557273	4.38774005877169	4.68136188062541	4.97924847723007	4.80572406906988	4.77336244449299	4.8160520485082
ENSMUSG00000000159	Igsf5	4.61540716232172	4.63469862913122	4.63778211469461	4.83015823556871	5.07741898571116	5.56764045109936	5.04252663600391	5.10666432857404	4.94611590843393	4.87274666524767	4.99428625865105	5.05518264008305
ENSMUSG00000000167	Pih1d2	0.546427922598736	0.421376640964583	1.04142249042727	0.101794877070353	1.37402920559402	2.05591205087738	1.01108841572799	1.41233581371367	1.79484472657424	1.50181908655036	1.36450012470088	1.68658000412429
ENSMUSG00000000168	Dlat	7.1641167388577	7.02503005307652	7.19678843955982	7.00641208975772	6.77150147790633	6.71414193333566	6.89595600224053	7.02374342875644	6.45668626813073	6.84372666423851	6.58750941187694	6.92124136869688
ENSMUSG00000000171	Sdhd	8.03334304390542	7.99145925913928	8.11149893235156	7.88631259573243	8.29247552862644	8.30228465725793	8.40326632827114	8.35381013813082	8.04495156944339	8.03390107701883	8.00342346967941	8.12049024400279
ENSMUSG00000000184	Ccnd2	8.50569558942827	8.66747252094616	8.63339410747328	8.39983946228807	8.85059980013164	8.84323531446986	9.0568612039824	8.85525146011016	9.10651574225781	8.83133360628001	8.91122255218066	9.04506080463385
ENSMUSG00000000194	Gpr107	6.40986417205524	6.12839924435111	6.23323423721861	6.27809107523644	6.13157161277279	6.378612953101	6.26197763350129	6.25612403909769	6.14251574529999	6.30853467641559	6.28106367211129	6.21489536197745
