ID	symbol	SAM24420031	SAM24420032	SAM24420033	SAM24420034	SAM24420035	SAM24420036	SAM24420037
ENSMUSG00000000001	Gnai3	8.18015763555731	8.08312569121372	7.88892660016521	8.26379276140657	8.65655109904221	8.7195765327102	8.62673359129658
ENSMUSG00000000028	Cdc45	4.41652262509013	4.16474854033818	4.25603570706539	4.37192860858886	5.18221984544216	4.93698488096802	4.78512877126128
ENSMUSG00000000031	H19	3.97294426072113	3.56289128858135	2.86257484395629	3.21915334556361	-2.63606505411613	-2.80735526440673	-3.81709639618353
ENSMUSG00000000049	Apoh	-3.08962251145835	-1.4409021403716	-1.7370025860519	-1.11365883812531	-1.75757837174854	-1.38626278961712	-0.85818540991944
ENSMUSG00000000056	Narf	6.11424596507164	6.18720418812323	6.0473974264858	6.1970579253657	6.00714445360443	5.87295311982826	5.90643627952528
ENSMUSG00000000058	Cav2	7.46588689833571	7.58459117327914	7.22286693665177	7.63809036078493	8.80865741242411	8.53080472661099	8.70324913574041
ENSMUSG00000000078	Klf6	10.1630732577496	10.3966359686224	10.2973343070697	10.0210154019455	10.223660732939	10.4356146480943	10.27452666553
ENSMUSG00000000085	Scmh1	6.43403608345378	6.34406340313972	6.45019952428444	6.55385790995496	6.34060797121224	6.3315863321916	6.4353952764515
ENSMUSG00000000088	Cox5a	6.67148393442876	6.47970215633254	6.38272112331545	7.27839605693062	6.15373421824936	6.34398488336787	6.1990039300804
ENSMUSG00000000093	Tbx2	2.34260889286344	2.00026373584283	2.81641086873054	1.30268780136328	2.8873900713989	3.27542629147667	2.80799784792198
ENSMUSG00000000094	Tbx4	-0.668349533435444	-2.6811574396905	-1.61952902966046	-1.55690646066986	2.63410213006917	2.99222317706871	2.80277644259912
ENSMUSG00000000120	Ngfr	3.75909298737372	4.51364546568367	4.14627788342463	3.57039888835747	2.45050091728852	3.31418613150256	1.23139479973226
ENSMUSG00000000125	Wnt3	-1.030157873059	0.207010210351762	1.22400487487184	-0.901134664434256	-3.81709639618353	-3.81709639618353	-3.81709639618353
ENSMUSG00000000126	Wnt9a	0.330316453429113	1.69421904810809	0.31222295352442	1.0017034752799	-1.75757837174854	-1.92848000927618	-0.85818540991944
ENSMUSG00000000127	Fer	5.71814644899005	5.73845845612527	5.34473119355675	5.42715679970253	6.81482577387337	6.74566171392035	6.75421564865327
ENSMUSG00000000131	Xpo6	7.26016739972109	7.10692437304696	7.19482262187482	6.98124044036381	7.68670569648734	7.63798383391024	7.6594004329916
ENSMUSG00000000134	Tfe3	5.86759409176602	5.77753157050884	5.9942469757016	5.71727408883977	6.21962304669514	6.03307862433923	6.04500132985037
ENSMUSG00000000142	Axin2	6.68524567938962	6.91025099575795	7.08092728715896	6.62025689428514	6.70906584267764	6.51253941703054	6.68389063455438
ENSMUSG00000000148	Brat1	5.28322060782473	5.33586914067872	5.44084229355926	5.16541735221139	5.08906018726737	5.18337390610445	5.11397588647218
ENSMUSG00000000149	Gna12	7.04273047335334	7.41628854885079	7.12367861479876	6.65322083184686	6.70191862929147	6.75881378369341	6.63771819346815
ENSMUSG00000000154	Slc22a18	5.50855860451392	5.42915210651887	5.23592350492287	5.88958815801782	5.24684889983025	5.27642621540501	5.15553090786197
ENSMUSG00000000159	Igsf5	6.33608116943616	6.08797910057641	6.16207212147295	6.42719698494184	5.75547660601143	5.76771454803515	5.61920028157013
ENSMUSG00000000167	Pih1d2	1.35610905670128	1.83830229649002	1.60811152547361	1.8047593192838	0.594208444651682	1.34473253200464	1.37903188806743
ENSMUSG00000000168	Dlat	6.96050860048037	6.84029907179537	6.69557523717143	7.09474278604774	7.05105482885552	7.00482610192447	6.9101422207034
ENSMUSG00000000171	Sdhd	8.45635940983058	8.28122240220218	8.31937954936631	8.72410349540532	8.04331137125162	8.204193120405	8.10172019292947
ENSMUSG00000000184	Ccnd2	9.12922502263487	8.94181409861532	8.84626335179135	9.10338030420256	9.14407386274023	9.10638809607353	9.06062761684601
ENSMUSG00000000194	Gpr107	6.47837080606891	6.35196377755023	6.3289296119247	6.34019266073544	6.23218843466453	6.19051283024119	6.3213514180376
ENSMUSG00000000197	Nalcn	-3.08962251145835	-2.89245558380616	-2.76320955058311	-1.90760731291194	-0.880922561495931	-0.68442937096975	-0.35966586255514
ENSMUSG00000000202	Btbd17	3.17419245315765	3.19909074980702	3.59794878383138	3.18077152535043	-3.81709639618353	-3.81709639618353	-3.81709639618353
ENSMUSG00000000204	Slfn4	5.83915195760025	6.20184951983439	6.47145715509777	5.40983833292429	4.59643360114225	4.39372509041964	3.36700852166841
ENSMUSG00000000214	Th	-2.82897082258964	-3.43924649817042	-1.31548705976333	-1.78099563743699	-0.94191782717296	-2.38989272455227	-1.07173573977991
ENSMUSG00000000216	Scnn1g	3.38160963609148	2.89979224321016	3.10374773283898	3.33553290171616	-0.381166808233053	2.25369186971041	1.75925583761172
ENSMUSG00000000244	Tspan32	4.4243586936662	4.12490403688643	4.32177026849747	4.68877066073802	5.98170980969077	5.59889670114366	5.93475717636643
ENSMUSG00000000247	Lhx2	-2.09678250064676	-1.71496153221365	0.31222295352442	-1.66460453451643	-2.63606505411613	-3.81709639618353	-3.81709639618353
ENSMUSG00000000253	Gmpr	4.17223928031669	3.80356424112659	3.73109371624455	4.07403232171431	1.51521879105347	1.69374497169626	1.01366956883617
ENSMUSG00000000266	Mid2	4.54857999801234	4.37578502351542	4.02522398358247	4.42707642586575	2.81088579486083	2.88395670454719	3.51163281900867
ENSMUSG00000000275	Trim25	5.97606648527778	6.28633774239907	6.51706962550133	6.17232874603543	6.15464496572803	5.89229515728372	5.77995380749049
ENSMUSG00000000276	Dgke	3.64569014298935	3.77250585389349	3.78002287330718	3.35978615738329	4.1634804062278	3.97262079202557	4.32062679811838
ENSMUSG00000000278	Scpep1	5.42666222627738	5.29430201692428	4.9299309347222	5.56764548039166	6.35850440560641	6.37722953402915	6.37642785589006
ENSMUSG00000000282	Mnt	3.42599887660594	3.79475843293339	4.06305783004812	3.74101586990141	3.85378707861374	3.78216415582365	3.77956370505596
ENSMUSG00000000290	Itgb2	2.86434300087117	3.45524581132149	2.98819498929022	2.37992285653265	4.39998311750467	4.34180349343853	4.8087627268793
ENSMUSG00000000295	Hddc2	4.9845980567615	5.10336733518735	4.93353981606324	5.39901225213792	4.37519276420515	4.81452544232908	4.61235547355831
ENSMUSG00000000296	Tpd52l1	4.1740995024019	4.31703524954618	4.4880620153301	4.07612499824238	2.87859730771791	2.9525692437557	2.94227379425807
ENSMUSG00000000301	Pemt	1.91438892627868	1.89707943728792	1.97792229814308	2.56415608623007	1.98547256030838	1.61690592860703	1.71546952563826
ENSMUSG00000000303	Cdh1	11.143727581267	10.9475357318909	10.9214251181153	11.0134611681269	11.2797819438808	11.1314704282806	11.2378963013682
ENSMUSG00000000308	Ckmt1	9.39636825767589	8.90412181949173	8.75776700692594	9.80282568222768	7.47023434533217	8.27902034454654	7.45158244444521
ENSMUSG00000000317	Bcl6b	-0.0665959307748854	0.734745014818829	1.2551027311366	-1.45669264330839	0.677677437869102	1.27499652722183	0.841040008303614
ENSMUSG00000000320	Alox12	3.71887939077495	3.71298973183697	3.87065994305921	5.1496057755521	3.6925717054878	4.01601600508134	4.0785569505487
ENSMUSG00000000325	Arvcf	5.37665045814782	5.2714745853186	5.27342849239177	4.93923639389098	4.75737007372063	4.62573048071173	4.65354432842818
ENSMUSG00000000326	Comt	7.11689585425825	7.17530784888382	7.2635786412923	7.2221024238825	6.89058026195599	6.87591226059668	6.87885011185111
ENSMUSG00000000339	Rtca	5.21076363533592	5.04700986382434	5.13609467027592	5.14861177448232	5.30050070036978	5.5083517558991	5.51210252047141
ENSMUSG00000000340	Dbt	4.64159529169825	4.41078449807877	4.20717830650414	4.21364716037438	4.44980613239937	4.66442725749313	4.54515630869325
ENSMUSG00000000346	Dazap2	8.70595468238631	8.58192727225284	8.53792807852159	8.74940312155566	9.06344537472004	9.15651441583887	9.20627468923299
ENSMUSG00000000355	Mcts1	5.01708902077153	5.15072078659644	4.87718636301132	5.52538562563135	4.83214050088202	4.87469860525401	4.76915493009362
ENSMUSG00000000374	Trappc10	5.77502295251511	5.62815435097002	5.63435480011205	6.01705618687014	5.54446116190344	5.41984200306145	5.52721937479113
ENSMUSG00000000378	Ccm2	6.24830804511811	6.19475463973143	6.15436069675614	6.26100217905789	6.38046989071044	6.38800536787757	6.56479381187119
ENSMUSG00000000384	Tbrg4	5.24744695273254	4.93024511339518	5.23104388536561	5.14462890745615	5.29967755253016	5.16806624619544	5.18392326344445
ENSMUSG00000000385	Tmprss2	9.2603780947959	8.67078504870655	8.63134745448184	9.42912649498788	8.20172791948016	8.6763610402268	8.36469249594205
ENSMUSG00000000386	Mx1	1.94085304395839	1.35404043432419	2.45724382196837	1.72164492281275	1.1120683954544	1.23147734446745	1.10134052967945
ENSMUSG00000000392	Fap	-0.565439968963077	-0.152983309501983	-0.552721268482557	-1.27500414933571	-1.07223643577671	-1.47961390573328	-0.793492128569898
ENSMUSG00000000394	Gcg	-0.138655601908036	2.27810795019066	0.370184500933736	2.15289470977657	-0.381166808233053	-3.81709639618353	1.55082014085785
ENSMUSG00000000399	Ndufa9	7.35361814239178	7.10447680350038	7.1741250336388	7.5624850840302	7.44681781553577	7.59963148923177	7.47679995332647
ENSMUSG00000000402	Egfl6	-0.565439968963077	-0.259007698458827	-1.40988974462186	-0.968556424046433	-2.85322202613543	-2.2191602812452	-3.37710278086244
ENSMUSG00000000409	Lck	1.94085304395839	1.67515315249262	1.09244266544942	1.51503272700273	0.636546507947201	1.43702486624188	0.0808540311986766
ENSMUSG00000000416	Cttnbp2	2.89624720811571	2.83254898172262	2.99741977322563	2.88381375414221	0.550590244806265	1.02606809810582	-1.1505727316349
ENSMUSG00000000420	Galnt1	8.64706785772939	8.73181475807018	8.53911297982162	8.46794054106585	9.18766150016698	9.08839557282298	9.16025531987431
ENSMUSG00000000439	Mkrn2	5.65893530302736	5.6959347711293	5.83806443518134	5.57949579470333	6.22830053038692	6.28843901747707	6.07508928897721
ENSMUSG00000000440	Pparg	5.07398940789603	5.1166777344345	5.21926501728134	5.60290834537888	5.9801693772022	6.274211841502	6.29649107160157
ENSMUSG00000000441	Raf1	6.55639213707228	6.63021623357929	6.63738669964404	6.51427638096288	7.15960841810388	7.15262366422142	7.21191219280078
ENSMUSG00000000486	Sept1	2.12906621028972	1.77702842403434	2.32427130585353	1.8833451612708	-0.0437455438315761	-0.577354972689513	-1.1505727316349
ENSMUSG00000000489	Pdgfb	5.97232969190596	6.36429189741476	6.23065876458648	5.88183300357021	6.78337395193499	6.82649452557741	6.99671568718143
ENSMUSG00000000530	Acvrl1	1.9232643466334	2.22009326675153	1.33003534412835	1.5754549324585	0.970291649436065	-0.21432509712669	0.0101269345200231
ENSMUSG00000000531	Grasp	5.99881113583481	6.28869166459165	6.55387821899339	6.32311345654408	6.46072111905598	6.4996036367506	6.66997834240752
ENSMUSG00000000532	Acvr1b	3.96866358096039	4.01735904885304	4.51561104029447	4.06352316300964	4.77761197081696	4.67664826751198	4.70483014151588
ENSMUSG00000000538	Tom1l2	6.09768016229373	5.88463272339831	5.65781630273726	5.71928397176413	6.09848302979339	5.86229258762505	5.88559661804325
ENSMUSG00000000544	Gpa33	9.00461486001689	8.76410433378355	8.89866869537454	9.32535216455496	8.4133298160069	8.38367573050697	8.40573796454198
ENSMUSG00000000552	Zfp385a	3.04597210568798	3.0516557290931	2.9170623012161	2.89807905562178	3.06452602175217	2.82661591256603	3.21806987109446
ENSMUSG00000000555	Itga5	4.6655952081299	4.75293114494521	4.60733655721988	4.0076062495286	3.50248864051656	3.04345458063799	3.49877461181989
ENSMUSG00000000561	Wdr77	4.86070921953271	5.0709122239203	4.83664388505183	5.05834352301736	5.15426074467508	5.08899250197808	5.06792752566818
ENSMUSG00000000563	Atp5f1	7.33274374980155	7.18944408803647	7.04105829163755	7.74931312556593	7.16639741753157	7.32707943435655	7.20054221836927
ENSMUSG00000000567	Sox9	9.27144412324354	9.27290699878597	9.34259413320199	9.23306321648321	9.50936537619356	9.33936289153841	9.53663359340863
ENSMUSG00000000568	Hnrnpd	6.99590871072846	6.88038867463806	6.93852821835107	6.93529177562871	7.19523146422355	7.16182987191403	7.09903425374042
ENSMUSG00000000581	C1d	6.06547083300126	6.0942725324935	5.92945641481477	6.37842732577485	5.86747897122944	5.77720408288404	5.84108295894634
ENSMUSG00000000594	Gm2a	6.39588761258409	6.53659813548497	6.28863714623571	6.39486774282229	4.25124597466565	4.33496573846174	4.84857952988275
ENSMUSG00000000600	Krit1	5.58675315805864	5.57578652575712	5.58472593437199	5.49129063153531	6.49672076631769	6.56059073797993	6.47819350924171
ENSMUSG00000000605	Clcn4	6.97738539561536	6.84883206161616	6.87175304665671	7.00422699862433	6.52234938068638	6.34228106017105	6.20098987976157
ENSMUSG00000000627	Sema4f	5.25888614871678	5.61195350542583	5.09586392861976	4.79422941018942	4.80223081527918	5.36970513884352	5.71194743242825
ENSMUSG00000000628	Hk2	7.15624744906608	7.34720240281211	7.0640145048289	7.29421300527075	7.68023737278731	8.01261901447328	7.86954642818001
ENSMUSG00000000631	Myo18a	7.66206199636453	7.7180782930626	7.69596699468276	7.2326942514217	7.92446126686575	7.80547701570731	7.90408959714739
ENSMUSG00000000682	Cd52	0.067548948922138	0.841212947085022	-1.86489634486689	-0.451954541100497	-3.42000863990354	-1.6866599384955	-1.23396811733393
ENSMUSG00000000686	Abhd15	0.482186077691997	-0.259007698458827	-0.552721268482557	-0.551828134957578	-2.28050525972527	-2.38989272455227	-1.41678257024551
ENSMUSG00000000690	Hoxb6	2.71900682399091	2.85813389000217	2.78479325623556	2.45260078341398	0.173115146749788	-0.430313332527966	-0.456513495809125
ENSMUSG00000000693	Loxl3	1.84134858864301	2.58945866331717	1.74584736077883	1.18351453822514	3.69757971111873	3.75680679414483	3.46611859832242
ENSMUSG00000000706	Btn1a1	0.160558271102371	-1.4409021403716	-0.261138310174042	-0.0357349436717471	-1.00560617186824	-0.74110205585337	-0.925916415559
ENSMUSG00000000708	Kat2b	3.21451942224454	3.38364613518955	3.45125503698587	3.16512824508509	3.5280158959639	3.6725317059899	3.46941766432717
ENSMUSG00000000711	Rab5b	4.53706198831715	4.58177527621591	4.68361074500843	4.82690787596414	4.50083354536197	4.21533587447981	4.21255954125681
ENSMUSG00000000731	Aire	-0.102175908923886	0.53772605420725	0.889399142268966	-0.270825893321692	0.173115146749788	2.66153296896881	0.11495843794321
ENSMUSG00000000732	Icosl	3.28507229099761	2.90798148676091	3.15822908276064	3.24914013995658	2.23319820455671	3.07252040102947	2.48841879637583
ENSMUSG00000000738	Spg7	7.10426835220902	7.17361064525744	7.29501327179575	6.99291796347784	7.1914644353307	7.24875336465248	7.32958831899953
ENSMUSG00000000740	Rpl13	2.46921453056529	2.57410198419138	2.94593758928806	2.73811638569683	2.96004090932849	3.16409777925527	3.2907353623471
ENSMUSG00000000743	Chmp1a	7.83163623882871	7.62629119246569	7.70091633932781	7.76561327661273	7.84431499348768	7.81564343407767	7.87328729168037
ENSMUSG00000000751	Rpa1	6.27412153641349	6.28083027506174	6.29706634884849	6.38392830761599	6.89902880361746	6.62542239859788	6.738577646204
ENSMUSG00000000753	Serpinf1	1.58588005022012	3.44120733136622	2.45724382196837	1.77414978902823	2.20534018082412	1.96573117285031	2.38040457523977
ENSMUSG00000000759	Tubgcp3	5.6655621493405	5.76687745650685	5.93846470095133	5.43614608213217	6.19327297192535	6.06854848223188	6.0108803071782
ENSMUSG00000000776	Polr3d	5.2053162419109	5.19154631936398	5.34292306439844	5.25033983645559	4.86144267787743	4.91995114609207	4.76379076958378
ENSMUSG00000000782	Tcf7	6.3713701896651	6.29260635343371	6.21393902080359	5.97729938844714	6.81856582018395	6.70944119742943	6.69450184397225
ENSMUSG00000000787	Ddx3x	8.0484397480381	7.92906614973622	7.78072143934838	7.97074738783622	8.28456237368917	8.19159201382561	8.21636105457557
ENSMUSG00000000792	Slc5a5	-1.95993165049686	-1.6177078784894	-1.61952902966046	0.227890148220265	-1.00560617186824	-0.993082441114835	-1.87119412032042
ENSMUSG00000000804	Usp32	4.52399335147322	4.10545183247211	4.3705092466091	3.94714947124488	4.87697767846476	4.81206551953435	4.88855963450348
ENSMUSG00000000805	Car4	4.13069555410868	4.17326667412183	3.4942459782218	4.09275802262444	1.38468303468125	2.86034104693556	2.07728788973862
ENSMUSG00000000811	Txnrd3	4.7799480326562	4.38754610998439	4.59978543844747	4.511459114851	5.00974199845784	4.90963352630182	5.08952832480668
ENSMUSG00000000823	Zfp512b	4.73024000077299	4.58943331786527	4.5629795202787	4.06773601727671	4.49940038942766	4.52117948226377	4.51514200220492
ENSMUSG00000000826	Dnajc5	7.67673379338823	7.57015020694574	7.44667059336618	7.77159795959004	7.9870285475467	7.98435770521747	7.97949287496047
ENSMUSG00000000827	Tpd52l2	6.90558452152825	7.08835298441646	7.07630960543336	7.0381685674115	6.98576966483507	6.94770351688658	7.00128135837059
ENSMUSG00000000838	Fmr1	6.26629507978639	6.31664316876887	6.15899249606723	6.15955667648827	6.45333810694717	6.38469829108268	6.21972129345609
ENSMUSG00000000861	Bcl11a	2.10586503972256	0.824005019408149	1.09244266544942	2.25248222209223	-0.184072970529134	0.474341089300979	-0.407277163093967
ENSMUSG00000000876	Pxmp4	4.32069199976385	4.24290033074372	4.12959402620685	4.56011600394297	3.60998502187235	3.6779456095494	3.49877461181989
ENSMUSG00000000881	Dlg3	5.77686035172342	5.40765466808821	5.38218764809446	5.6079795845876	5.4036988358612	5.50226108479569	5.38160460605827
ENSMUSG00000000884	Gnb1l	4.12877847849841	3.81667298842314	3.97006378670562	3.63428367816818	3.64151163062844	3.56560813523043	3.44281145482752
ENSMUSG00000000901	Mmp11	3.32914817920649	3.87004581503748	3.38953159476839	2.81029145434532	2.55904424961246	2.81191739963773	2.72762027904086
ENSMUSG00000000902	Smarcb1	6.6665370377629	6.59419271760349	6.64584442251051	6.64725115046079	6.22830053038692	6.2566806054647	6.29509729982429
ENSMUSG00000000915	Hip1r	6.9521311062307	7.0601546405184	7.26453410207361	6.62097377886319	7.45571289489857	7.50285611837111	7.79689075600165
ENSMUSG00000000916	Nsun5	4.88589877326565	5.14293569503677	5.11611952833284	4.96994766554011	4.92580795467111	5.13891911329621	5.10233524847926
ENSMUSG00000000934	Top1mt	4.11722221855163	3.87423154665064	4.13378311331168	3.83050974338051	4.92900528588623	4.91308093804504	5.17687738663329
ENSMUSG00000000938	Hoxa10	4.13833848325179	3.35697489625301	3.43776511943567	4.42543588460376	2.37123081167166	2.88395670454719	1.94134404588598
ENSMUSG00000000942	Hoxa4	-0.837941224242095	-1.28341798839797	-1.7370025860519	-1.03928414781577	-3.81709639618353	-3.39718010947038	-2.16652025308807
ENSMUSG00000000957	Mmp14	5.66622316286377	5.22306666227699	4.53316058709079	5.74516079497729	4.13791804069662	4.28794328785631	3.7688929194653
ENSMUSG00000000958	Slc7a7	6.29862887344126	6.20226578113418	6.40108412522958	6.68510564384832	6.10226447693017	6.0607988713265	6.07400610495964
ENSMUSG00000000959	Oxa1l	5.44680705616515	5.29586308816101	5.2485338113386	5.59490306364883	4.54456962783856	4.58308445797772	4.74621821053418
ENSMUSG00000000976	Heatr6	5.0417501966916	5.22879866900938	5.41353690413395	5.09182546361337	5.28144844990906	5.19096725578154	4.971172099522
ENSMUSG00000000983	Wfdc18	8.07319837518787	7.91605610961849	8.09727038379655	8.5159436979826	2.58630109291691	3.25383726996917	2.7385995677164
ENSMUSG00000001016	Ilf2	6.90866030361323	6.85837173235597	6.8432578038706	6.98486502259621	7.13904760387089	7.28090722113334	7.19108156958742
ENSMUSG00000001017	Chtop	6.58183933542129	6.6199707470244	6.61433751488176	6.52235678295946	6.70875582942864	6.67330468075031	6.63698489393359
ENSMUSG00000001018	Snapin	6.40343986241201	6.35008665639039	6.28299019227191	6.40447627058956	6.79743725718927	6.5362063289036	6.61853021301984
ENSMUSG00000001020	S100a4	0.0992229982330298	0.53772605420725	0.629484305818172	0.398143204112558	0.435401025760688	0.682583376530291	1.61180313745779
ENSMUSG00000001021	S100a3	-2.24798828268815	-1.01220084220518	-1.14340916385633	-0.551828134957578	-0.609512329741629	-0.68442937096975	-0.35966586255514
ENSMUSG00000001025	S100a6	11.1133744610483	11.1417640535775	11.0580372503891	11.683927304273	11.3026613611987	11.3960122079652	11.537770697509
